createdAt,code,codeType,attributor,userId,username,action,amount,commissionPercent,country
2026-05-18T18:58:00.007Z,ROKIT,affiliate,primary,urn:prp-user:JuZJGQhpk4uu,RetailZebra#4891,purchase,0.00,15.00,CZ
2026-05-18T18:53:19.261Z,ROKIT,affiliate,primary,urn:prp-user:JuZJGQhpk4uu,RetailZebra#4891,signup,,15.00,CZ
2026-05-17T18:37:01.848Z,ROKIT,affiliate,primary,urn:prp-user:yF7skpFh2UTw,WonderfulCrane#1297,purchase,0.00,15.00,ES
2026-05-17T18:36:25.832Z,ROKIT,affiliate,primary,urn:prp-user:yF7skpFh2UTw,WonderfulCrane#1297,signup,,15.00,ES
2026-05-16T18:34:29.000Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,60.00,15.00,ES
2026-05-15T15:51:06.504Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,275.00,15.00,ES
2026-05-15T13:40:24.376Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,275.00,15.00,ES
2026-05-15T08:25:17.073Z,ROKIT,affiliate,primary,urn:prp-user:8jQqtUbEzbmS,frejoshi,signup,,15.00,ES
2026-05-14T22:35:55.076Z,ROKIT,affiliate,primary,urn:prp-user:xhxtu8KkAEwt,ZygoticMarmoset#4956,signup,,15.00,MX
2026-05-14T13:28:23.104Z,ROKIT,affiliate,primary,urn:prp-user:9BGBAka4Ce45,RandomLemur#3422,signup,,15.00,ES
2026-05-14T07:42:07.553Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,275.00,15.00,ES
2026-05-13T18:59:01.593Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,495.00,15.00,ES
2026-05-13T18:56:57.614Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,275.00,15.00,ES
2026-05-13T18:54:42.511Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,275.00,15.00,ES
